"","Pathogen","Disease","Agegroup","Source","CostCategory","median","5%","95%"
"57","Campylobacter","Guillain-Barré syndrome","5-64","Other","TotalHumanCapital",880381.892676172,420.589114930872,2789713.88786087
"58","Campylobacter","Guillain-Barré syndrome","5-64","Pork","TotalHumanCapital",446307.999836902,38169.3047019494,1946976.8335205
"59","Campylobacter","Guillain-Barré syndrome","5-64","Poultry","TotalHumanCapital",5820338.3572598,2377643.80053505,11179380.4570203
"60","Campylobacter","Guillain-Barré syndrome","5-64","Vegetables","TotalHumanCapital",601257.414898742,46587.9628433652,2085699.14099194
"61","Campylobacter","Guillain-Barré syndrome","65+","AllFood","TotalHumanCapital",32756407.2361154,14712249.0411365,60110401.516437
"62","Campylobacter","Guillain-Barré syndrome","65+","Beef","TotalHumanCapital",1795254.34669792,270610.175935248,8236642.69614656
"63","Campylobacter","Guillain-Barré syndrome","65+","Crustaceans","TotalHumanCapital",0,0,0
"64","Campylobacter","Guillain-Barré syndrome","65+","Dairy","TotalHumanCapital",1736364.03706338,134446.978335534,7149055.74453401
"65","Campylobacter","Guillain-Barré syndrome","65+","Eggs","TotalHumanCapital",0,0,0
"66","Campylobacter","Guillain-Barré syndrome","65+","Finfish","TotalHumanCapital",0,0,0
"67","Campylobacter","Guillain-Barré syndrome","65+","Fruit","TotalHumanCapital",0,0,0
"68","Campylobacter","Guillain-Barré syndrome","65+","Grains and seeds","TotalHumanCapital",0,0,0
"69","Campylobacter","Guillain-Barré syndrome","65+","Lamb","TotalHumanCapital",1287455.44258055,63420.7194779973,6182473.94852377
"70","Campylobacter","Guillain-Barré syndrome","65+","Molluscs","TotalHumanCapital",0,0,0
"71","Campylobacter","Guillain-Barré syndrome","65+","Nuts","TotalHumanCapital",0,0,0
"72","Campylobacter","Guillain-Barré syndrome","65+","Other","TotalHumanCapital",3091848.56344093,1653.1669283989,10773714.7266018
"73","Campylobacter","Guillain-Barré syndrome","65+","Pork","TotalHumanCapital",1581143.57725998,132302.606238863,7561279.5445874
"74","Campylobacter","Guillain-Barré syndrome","65+","Poultry","TotalHumanCapital",21054017.0354661,7308263.68705544,44051487.8388492
"75","Campylobacter","Guillain-Barré syndrome","65+","Vegetables","TotalHumanCapital",2111832.21640658,164570.041705994,8106451.18511271
"76","Campylobacter","Guillain-Barré syndrome","<5","AllFood","TotalHumanCapital",596905.630063242,283063.958478574,1276652.82005554
"77","Campylobacter","Guillain-Barré syndrome","<5","Beef","TotalHumanCapital",33864.0831018734,5139.90669326757,172571.352291705
"78","Campylobacter","Guillain-Barré syndrome","<5","Crustaceans","TotalHumanCapital",0,0,0
"79","Campylobacter","Guillain-Barré syndrome","<5","Dairy","TotalHumanCapital",32652.8699675355,2495.8461751381,154244.733878953
"80","Campylobacter","Guillain-Barré syndrome","<5","Eggs","TotalHumanCapital",0,0,0
"81","Campylobacter","Guillain-Barré syndrome","<5","Finfish","TotalHumanCapital",0,0,0
"82","Campylobacter","Guillain-Barré syndrome","<5","Fruit","TotalHumanCapital",0,0,0
"83","Campylobacter","Guillain-Barré syndrome","<5","Grains and seeds","TotalHumanCapital",0,0,0
"84","Campylobacter","Guillain-Barré syndrome","<5","Lamb","TotalHumanCapital",24144.6400937671,1201.63031782588,132672.37817336
"85","Campylobacter","Guillain-Barré syndrome","<5","Molluscs","TotalHumanCapital",0,0,0
"86","Campylobacter","Guillain-Barré syndrome","<5","Nuts","TotalHumanCapital",0,0,0
"87","Campylobacter","Guillain-Barré syndrome","<5","Other","TotalHumanCapital",57398.820980009,35.6277027718541,225335.201943128
"88","Campylobacter","Guillain-Barré syndrome","<5","Pork","TotalHumanCapital",29907.5550706138,2475.64678601273,159372.040440215
"89","Campylobacter","Guillain-Barré syndrome","<5","Poultry","TotalHumanCapital",387808.502538005,138934.616645237,918119.571123199
"90","Campylobacter","Guillain-Barré syndrome","<5","Vegetables","TotalHumanCapital",39459.2618070403,3042.24290770514,170397.958883457
"91","Campylobacter","Irritable bowel syndrome","5-64","AllFood","TotalHumanCapital",51150822.3643495,30198685.8897343,86399728.9691275
"92","Campylobacter","Irritable bowel syndrome","5-64","Beef","TotalHumanCapital",2904861.25610103,482537.665366362,12481630.2691492
"93","Campylobacter","Irritable bowel syndrome","5-64","Crustaceans","TotalHumanCapital",0,0,0
"94","Campylobacter","Irritable bowel syndrome","5-64","Dairy","TotalHumanCapital",2849009.34442784,222368.571534061,10810792.9928469
"95","Campylobacter","Irritable bowel syndrome","5-64","Eggs","TotalHumanCapital",0,0,0
"96","Campylobacter","Irritable bowel syndrome","5-64","Finfish","TotalHumanCapital",0,0,0
"97","Campylobacter","Irritable bowel syndrome","5-64","Fruit","TotalHumanCapital",0,0,0
"98","Campylobacter","Irritable bowel syndrome","5-64","Grains and seeds","TotalHumanCapital",0,0,0
"99","Campylobacter","Irritable bowel syndrome","5-64","Lamb","TotalHumanCapital",2100258.56164784,102430.722328782,9459016.17303041
