"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"683","Deaths","Non-typhoidal Salmonella","Reactive arthritis","<5","Seeds and grains",0.000118653681977426,9.78887212811509e-07,0.00132508142088591
"684","Deaths","Non-typhoidal Salmonella","Reactive arthritis","<5","Shellfish",2.27488165039343e-05,1.85936914317805e-07,0.000255833955033664
"685","Deaths","Non-typhoidal Salmonella","Reactive arthritis","<5","Vegetables",0.000629982053934331,5.23854755683542e-06,0.00690001335865363
"686","Deaths","Non-typhoidal Salmonella","Reactive arthritis","<5","AllFood",0.00771183264527873,6.45253448893905e-05,0.0826121828469243
"687","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Beef",0.000232204606918854,1.81857260647434e-06,0.00289898996940659
"688","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Dairy",4.21953885978377e-05,3.3488969990744e-07,0.000519033349428593
"689","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Eggs",0.00139904830959612,1.11628388789129e-05,0.0169042460723189
"690","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Fin fish",4.56268931677716e-06,3.6188775299245e-08,5.5532520956059e-05
"691","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Fruit",9.2985509377057e-05,7.420767865039e-07,0.00119253707111699
"692","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Lamb",0.000189162495039012,1.49070199714853e-06,0.00236861253863237
"693","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Nuts",0.000154715611877271,1.21953916257975e-06,0.00197197161542206
"694","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Other",6.62478159760288e-05,5.30026477113519e-07,0.000806209992877697
"695","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Pork",0.000331440905101112,2.65223352490907e-06,0.00413580231153892
"696","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Poultry",0.000904571939580169,7.16364426555775e-06,0.0111314573150702
"697","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Seeds and grains",5.91076545320349e-05,4.75418010831324e-07,0.0007256289569267
"698","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Shellfish",1.13359886023273e-05,9.0545324243695e-08,0.00014112970847751
"699","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","Vegetables",0.000315264519974568,2.51425832809966e-06,0.00382343494985108
"700","Deaths","Non-typhoidal Salmonella","Reactive arthritis","5-64","AllFood",0.00385883723600648,3.08709543539231e-05,0.0455322271012824
"701","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Beef",0.000245891252392892,1.95858185687245e-06,0.00318124342222231
"702","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Dairy",4.48587779424614e-05,3.54998973315146e-07,0.000575192107529947
"703","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Eggs",0.00147357263802002,1.17664858028825e-05,0.0185643822994683
"704","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Fin fish",4.81563703882659e-06,3.89730107316053e-08,6.20907535288501e-05
"705","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Fruit",9.83459411781159e-05,7.75691043825242e-07,0.00131463992229012
"706","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Lamb",0.000199721294027086,1.59062407679634e-06,0.00263057311606578
"707","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Nuts",0.00016369378873239,1.28128198959342e-06,0.00217443633386561
"708","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Other",7.04332292901295e-05,5.64088610980592e-07,0.000892624256298775
"709","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Pork",0.000350780966207674,2.75926365987307e-06,0.00455086463362686
"710","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Poultry",0.000954969319959625,7.61621817264648e-06,0.0123683407162057
"711","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Seeds and grains",6.25361826340046e-05,4.98792319742219e-07,0.000802370869208833
"712","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Shellfish",1.19905383841112e-05,9.45047374259148e-08,0.000155820409201366
"713","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","Vegetables",0.000332919226042375,2.66506993534752e-06,0.004203586054544
"714","Deaths","Non-typhoidal Salmonella","Reactive arthritis","65+","AllFood",0.00407750452530318,3.27378860926845e-05,0.0505631974400376
"715","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Beef",0.00013096228479586,1.04539259000263e-06,0.00152120829478732
"716","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Dairy",2.39357478656994e-05,1.89769598991564e-07,0.000272824260547826
"717","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Eggs",0.00079211803457293,6.3578248539639e-06,0.00883551760211315
"718","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Fin fish",2.57877761357431e-06,2.03724586031141e-08,2.94086706218177e-05
"719","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Fruit",5.27202018367531e-05,4.14672833319989e-07,0.000621811647529304
"720","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Lamb",0.000106741823792894,8.43028638036956e-07,0.00124715205077401
"721","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Nuts",8.70841792623014e-05,6.90604663627157e-07,0.00103668136191333
"722","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Other",3.75264342383155e-05,2.99747447948365e-07,0.000423024332149648
"723","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Pork",0.000187082156295212,1.48539607079347e-06,0.00217204510772528
"724","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Poultry",0.00051154271691976,4.0989520195374e-06,0.00586728624662212
"725","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Seeds and grains",3.36132266726201e-05,2.6769136142727e-07,0.000380600011517447
"726","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Shellfish",6.38623908396798e-06,5.16926260480615e-08,7.37127423978597e-05
"727","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","Vegetables",0.000178804783971963,1.43141772071382e-06,0.00200326320829315
"728","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","<5","AllFood",0.00218537056170468,1.7449012558063e-05,0.0239084644391393
"729","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Beef",6.31264426766092e-05,5.11213968752557e-07,0.000759538753362781
"730","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Dairy",1.14944579966322e-05,9.33409676814783e-08,0.000137748549787733
"731","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Eggs",0.000380236833910044,3.06870311391461e-06,0.00445163376493203
"732","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Fin fish",1.23760750314611e-06,9.92494486290219e-09,1.47355831278228e-05
"733","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Fruit",2.52701682932818e-05,2.00239631158852e-07,0.000312687887328545
"734","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Lamb",5.14983632465016e-05,4.1276095672021e-07,0.000621640655411928
"735","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Nuts",4.18681534985314e-05,3.40430909394907e-07,0.000519475772498419
"736","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Other",1.80420450274809e-05,1.47125352368334e-07,0.000213255705619837
"737","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Pork",9.01901754989794e-05,7.3660542673548e-07,0.00108719911995829
"738","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Poultry",0.00024629562344983,1.98741508375641e-06,0.00296014787857945
"739","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Seeds and grains",1.61630245615452e-05,1.30689771118849e-07,0.000190920240738981
"740","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Shellfish",3.08955549962995e-06,2.5239096185893e-08,3.68970971853142e-05
"741","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","Vegetables",8.63499807013983e-05,6.90709032142864e-07,0.00100244131785193
"742","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","5-64","AllFood",0.00105371113343693,8.5826222404303e-06,0.0120052090779116
"743","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Beef",0.00306550071059418,0.000879571861643445,0.0107157871451633
"744","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Dairy",0.000558853263019069,0.000163706316875817,0.00192593426782583
"745","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Eggs",0.0183709516979618,0.0055360319759827,0.0617928802624915
"746","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Fin fish",6.01471571650143e-05,1.7634804926117e-05,0.00020565263183225
"747","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Fruit",0.00123872537287442,0.000338518737090697,0.00451251117466421
"748","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Lamb",0.00250994574448847,0.000707707929392074,0.00885621580387003
"749","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Nuts",0.0020584910291806,0.000551263775727575,0.00754682991442454
"750","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Other",0.00087323262773086,0.000262370149198184,0.00296199120860032
"751","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Pork",0.00437882927132003,0.00123958446926923,0.0155264482367712
"752","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Poultry",0.0119470455107749,0.0034552675779319,0.0416171733283635
"753","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Seeds and grains",0.000781088607191668,0.000229394774722492,0.0026749838583783
"754","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Shellfish",0.000150098519646443,4.30992517833024e-05,0.000521387465043593
"755","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","Vegetables",0.00415221966431268,0.001258179653841,0.0138865068735923
"756","Deaths","Non-typhoidal Salmonella","Irritable bowel syndrome","65+","AllFood",0.0505875186390649,0.0158291079856415,0.163515629694869
"757","Deaths","Norovirus","Initial","<5","Beef",0,0,0
"758","Deaths","Norovirus","Initial","<5","Dairy",0,0,0
"759","Deaths","Norovirus","Initial","<5","Eggs",0,0,0
"760","Deaths","Norovirus","Initial","<5","Fin fish",3.18981027178515e-05,2.49037646341561e-07,0.000374614652527783
"761","Deaths","Norovirus","Initial","<5","Fruit",0.000567635440881831,4.35688626891291e-06,0.00679390427637157
"762","Deaths","Norovirus","Initial","<5","Lamb",0,0,0
"763","Deaths","Norovirus","Initial","<5","Nuts",0,0,0
"764","Deaths","Norovirus","Initial","<5","Other",0.000578706048434811,4.54584820348871e-06,0.00669447799271457
"765","Deaths","Norovirus","Initial","<5","Pork",0,0,0
"766","Deaths","Norovirus","Initial","<5","Poultry",0,0,0
"767","Deaths","Norovirus","Initial","<5","Seeds and grains",0,0,0
"768","Deaths","Norovirus","Initial","<5","Shellfish",0.00555142144760465,4.39720918070532e-05,0.0628150920574157
"769","Deaths","Norovirus","Initial","<5","Vegetables",0.00107286377330093,8.31206477120738e-06,0.0124759215983935
"770","Deaths","Norovirus","Initial","<5","AllFood",0.00803509011695387,6.31426792131038e-05,0.0907203652811297
"771","Deaths","Norovirus","Initial","5-64","Beef",0,0,0
"772","Deaths","Norovirus","Initial","5-64","Dairy",0,0,0
"773","Deaths","Norovirus","Initial","5-64","Eggs",0,0,0
"774","Deaths","Norovirus","Initial","5-64","Fin fish",0.00113597614613422,0.000261352855420079,0.00331715251393115
"775","Deaths","Norovirus","Initial","5-64","Fruit",0.0201909715490735,0.0045253310272199,0.061018543597701
"776","Deaths","Norovirus","Initial","5-64","Lamb",0,0,0
"777","Deaths","Norovirus","Initial","5-64","Nuts",0,0,0
"778","Deaths","Norovirus","Initial","5-64","Other",0.0206782829737885,0.00484875448358369,0.0582025348100397
"779","Deaths","Norovirus","Initial","5-64","Pork",0,0,0
"780","Deaths","Norovirus","Initial","5-64","Poultry",0,0,0
"781","Deaths","Norovirus","Initial","5-64","Seeds and grains",0,0,0
"782","Deaths","Norovirus","Initial","5-64","Shellfish",0.198864611656019,0.0475838511040405,0.537472088470364
"783","Deaths","Norovirus","Initial","5-64","Vegetables",0.0380746033545145,0.00880378036768066,0.1106902589719
"784","Deaths","Norovirus","Initial","5-64","AllFood",0.287428703086766,0.0688396079367458,0.775719319168633
"785","Deaths","Norovirus","Initial","65+","Beef",0,0,0
"786","Deaths","Norovirus","Initial","65+","Dairy",0,0,0
"787","Deaths","Norovirus","Initial","65+","Eggs",0,0,0
"788","Deaths","Norovirus","Initial","65+","Fin fish",0.00185919893112362,0.000446070282831931,0.00519727758789101
"789","Deaths","Norovirus","Initial","65+","Fruit",0.0330999892329662,0.00775957218092692,0.0949849090088258
"790","Deaths","Norovirus","Initial","65+","Lamb",0,0,0
"791","Deaths","Norovirus","Initial","65+","Nuts",0,0,0
"792","Deaths","Norovirus","Initial","65+","Other",0.0339001431187796,0.00829990354495428,0.0911156090436881
"793","Deaths","Norovirus","Initial","65+","Pork",0,0,0
"794","Deaths","Norovirus","Initial","65+","Poultry",0,0,0
"795","Deaths","Norovirus","Initial","65+","Seeds and grains",0,0,0
"796","Deaths","Norovirus","Initial","65+","Shellfish",0.32502469993157,0.0814360941124633,0.834384276052876
"797","Deaths","Norovirus","Initial","65+","Vegetables",0.0624056288478148,0.0150276879452176,0.173119168179905
"798","Deaths","Norovirus","Initial","65+","AllFood",0.470573088785361,0.117905768174746,1.20681388022204
"799","Deaths","STEC","Initial","<5","Beef",0.00953035781791703,8.16644430974256e-05,0.0896267375478054
"800","Deaths","STEC","Initial","<5","Dairy",0.00413997270500822,3.56289887528144e-05,0.0390399329721731
"801","Deaths","STEC","Initial","<5","Eggs",8.38753829920065e-05,7.12550518621127e-07,0.000878180416896922
"802","Deaths","STEC","Initial","<5","Fin fish",0,0,0
"803","Deaths","STEC","Initial","<5","Fruit",0.00115880495623625,9.89201214570312e-06,0.010912946722512
"804","Deaths","STEC","Initial","<5","Lamb",0.00185880227921996,1.60026987802526e-05,0.0174970283827611
"805","Deaths","STEC","Initial","<5","Nuts",0,0,0
"806","Deaths","STEC","Initial","<5","Other",0.00108401735098389,9.34020823844906e-06,0.0103036240078141
"807","Deaths","STEC","Initial","<5","Pork",0.00204363620841652,1.75899188047186e-05,0.0192329902027953
"808","Deaths","STEC","Initial","<5","Poultry",0.00115883918639088,1.00057082995456e-05,0.0109161563835145
"809","Deaths","STEC","Initial","<5","Seeds and grains",0.00115700388730694,9.90787391836491e-06,0.0109281746969175
"810","Deaths","STEC","Initial","<5","Shellfish",0,0,0
"811","Deaths","STEC","Initial","<5","Vegetables",0.00544633520251046,4.68257808107023e-05,0.0513931253270346
"812","Deaths","STEC","Initial","<5","AllFood",0.027572098244534,0.000236708669423068,0.259585478684639
"813","Deaths","STEC","Initial","5-64","Beef",0.00958816561788108,8.2274669614452e-05,0.0893555092758284
"814","Deaths","STEC","Initial","5-64","Dairy",0.00415827788411674,3.58118584463198e-05,0.0388974117805594
"815","Deaths","STEC","Initial","5-64","Eggs",8.46935244795743e-05,7.02544630977105e-07,0.0008783722244457
"816","Deaths","STEC","Initial","5-64","Fin fish",0,0,0
"817","Deaths","STEC","Initial","5-64","Fruit",0.001166902525977,1.00106545509151e-05,0.0108805773729635
"818","Deaths","STEC","Initial","5-64","Lamb",0.00186843192217482,1.60362006057821e-05,0.0174716980235245
"819","Deaths","STEC","Initial","5-64","Nuts",0,0,0
"820","Deaths","STEC","Initial","5-64","Other",0.00109103732628065,9.25356797983005e-06,0.0102656835041884
"821","Deaths","STEC","Initial","5-64","Pork",0.00205811532806831,1.76265643517382e-05,0.0191590179316402
"822","Deaths","STEC","Initial","5-64","Poultry",0.00116361360893037,9.99693293277646e-06,0.0109339393018325
"823","Deaths","STEC","Initial","5-64","Seeds and grains",0.00116749970006984,9.99873028673549e-06,0.010866734388669
"824","Deaths","STEC","Initial","5-64","Shellfish",0,0,0
"825","Deaths","STEC","Initial","5-64","Vegetables",0.00548285419712602,4.69528851076348e-05,0.0511390727806329
"826","Deaths","STEC","Initial","5-64","AllFood",0.0277437038240326,0.000238210941621907,0.258582084769197
"827","Deaths","STEC","Initial","65+","Beef",0.0121198386773174,0.00010780989043842,0.113468221080014
"828","Deaths","STEC","Initial","65+","Dairy",0.00525410855320918,4.65505460057182e-05,0.0494464238942168
"829","Deaths","STEC","Initial","65+","Eggs",0.000106345272530539,9.18251304566978e-07,0.00111314658041484
"830","Deaths","STEC","Initial","65+","Fin fish",0,0,0
"831","Deaths","STEC","Initial","65+","Fruit",0.00146884078825902,1.30203490793898e-05,0.0138773143611053
"832","Deaths","STEC","Initial","65+","Lamb",0.00235883401302332,2.09110131408993e-05,0.0221883802760783
"833","Deaths","STEC","Initial","65+","Nuts",0,0,0
"834","Deaths","STEC","Initial","65+","Other",0.00137260687674602,1.21977433450801e-05,0.0130781874242833
"835","Deaths","STEC","Initial","65+","Pork",0.00259781402058378,2.31186820856624e-05,0.0243330330753263
"836","Deaths","STEC","Initial","65+","Poultry",0.00147390895981933,1.31735676255805e-05,0.0138609153416762
"837","Deaths","STEC","Initial","65+","Seeds and grains",0.00146929154166436,1.30107004793765e-05,0.0138515977173194
"838","Deaths","STEC","Initial","65+","Shellfish",0,0,0
"839","Deaths","STEC","Initial","65+","Vegetables",0.00692604783955558,6.21816846377706e-05,0.0650483681195156
"840","Deaths","STEC","Initial","65+","AllFood",0.0350516657743889,0.00031357361407257,0.3284094567215
"841","Deaths","STEC","Haemolytic uremic syndrome","<5","Beef",0.0372463416209168,0.00650165936345432,0.131141453619863
"842","Deaths","STEC","Haemolytic uremic syndrome","<5","Dairy",0.0161577623303096,0.00282331024600649,0.0572519110641778
"843","Deaths","STEC","Haemolytic uremic syndrome","<5","Eggs",0.000330402261133338,5.21628694875356e-05,0.00135800920408955
"844","Deaths","STEC","Haemolytic uremic syndrome","<5","Fin fish",0,0,0
"845","Deaths","STEC","Haemolytic uremic syndrome","<5","Fruit",0.00452475488466156,0.000788744275526275,0.0160077161561012
"846","Deaths","STEC","Haemolytic uremic syndrome","<5","Lamb",0.00726037761157173,0.0012667315300973,0.0256220749046952
"847","Deaths","STEC","Haemolytic uremic syndrome","<5","Nuts",0,0,0
"848","Deaths","STEC","Haemolytic uremic syndrome","<5","Other",0.00423679022196472,0.000733438075894757,0.0151609568072518
"849","Deaths","STEC","Haemolytic uremic syndrome","<5","Pork",0.00799527212831338,0.00139763809644077,0.0281163790345003
"850","Deaths","STEC","Haemolytic uremic syndrome","<5","Poultry",0.00453036825981707,0.000789538128862977,0.0160011032210433
"851","Deaths","STEC","Haemolytic uremic syndrome","<5","Seeds and grains",0.00453561944258062,0.000793051389056212,0.0159944278516746
"852","Deaths","STEC","Haemolytic uremic syndrome","<5","Shellfish",0,0,0
"853","Deaths","STEC","Haemolytic uremic syndrome","<5","Vegetables",0.021298061680638,0.00371111495395727,0.0752052040959075
"854","Deaths","STEC","Haemolytic uremic syndrome","<5","AllFood",0.107842165637571,0.0188630773730252,0.379484048520004
"855","Deaths","STEC","Haemolytic uremic syndrome","5-64","Beef",0.407777555186812,0.189173548568168,0.804662432351418
"856","Deaths","STEC","Haemolytic uremic syndrome","5-64","Dairy",0.17688899247784,0.0815171451806318,0.352848411448983
"857","Deaths","STEC","Haemolytic uremic syndrome","5-64","Eggs",0.00365533115324334,0.0013437518404079,0.0090191673749911
"858","Deaths","STEC","Haemolytic uremic syndrome","5-64","Fin fish",0,0,0
"859","Deaths","STEC","Haemolytic uremic syndrome","5-64","Fruit",0.0495217797534247,0.0228728996744222,0.0986785134007837
"860","Deaths","STEC","Haemolytic uremic syndrome","5-64","Lamb",0.0795276481808359,0.0368800076003962,0.157175215403674
"861","Deaths","STEC","Haemolytic uremic syndrome","5-64","Nuts",0,0,0
"862","Deaths","STEC","Haemolytic uremic syndrome","5-64","Other",0.0463551338685171,0.0210061886914925,0.0947955794987078
"863","Deaths","STEC","Haemolytic uremic syndrome","5-64","Pork",0.0875858336376288,0.0406605420779289,0.172585190533128
"864","Deaths","STEC","Haemolytic uremic syndrome","5-64","Poultry",0.0495779232461493,0.0228944067100063,0.0984487926178711
"865","Deaths","STEC","Haemolytic uremic syndrome","5-64","Seeds and grains",0.049610376351433,0.0228706946719581,0.0985571823158898
"866","Deaths","STEC","Haemolytic uremic syndrome","5-64","Shellfish",0,0,0
"867","Deaths","STEC","Haemolytic uremic syndrome","5-64","Vegetables",0.233162947189882,0.107969596811888,0.461473087160236
"868","Deaths","STEC","Haemolytic uremic syndrome","5-64","AllFood",1.1810969536311,0.549218969412711,2.32895858250785
"869","Deaths","STEC","Haemolytic uremic syndrome","65+","Beef",0.0697477086349461,0.0164356011284608,0.211237637071288
"870","Deaths","STEC","Haemolytic uremic syndrome","65+","Dairy",0.0302765834819853,0.00708947587138577,0.0921049326499314
"871","Deaths","STEC","Haemolytic uremic syndrome","65+","Eggs",0.000619854100629984,0.000128102235802222,0.00221615310070114
"872","Deaths","STEC","Haemolytic uremic syndrome","65+","Fin fish",0,0,0
"873","Deaths","STEC","Haemolytic uremic syndrome","65+","Fruit",0.00848507741021511,0.00198895232341321,0.0257992274291889
"874","Deaths","STEC","Haemolytic uremic syndrome","65+","Lamb",0.0135894002270829,0.00319311082147544,0.0411564059005838
"875","Deaths","STEC","Haemolytic uremic syndrome","65+","Nuts",0,0,0
"876","Deaths","STEC","Haemolytic uremic syndrome","65+","Other",0.00792142291108766,0.00184294858811845,0.0244829204079004
"877","Deaths","STEC","Haemolytic uremic syndrome","65+","Pork",0.014982366720666,0.00352950229445902,0.0452389133155879
"878","Deaths","STEC","Haemolytic uremic syndrome","65+","Poultry",0.00847486523234913,0.00199136257702016,0.0257780910406418
"879","Deaths","STEC","Haemolytic uremic syndrome","65+","Seeds and grains",0.00846715744830963,0.00199155750589348,0.0257842497679427
"880","Deaths","STEC","Haemolytic uremic syndrome","65+","Shellfish",0,0,0
"881","Deaths","STEC","Haemolytic uremic syndrome","65+","Vegetables",0.0398984765507758,0.00939004817212729,0.120873323657154
"882","Deaths","STEC","Haemolytic uremic syndrome","65+","AllFood",0.201898770779469,0.0475273827930947,0.609601272293023
"883","Cases","All pathogens","Haemolytic uremic syndrome","<5","AllFood",12.0411293856898,4.57587513160507,30.3055902156225
"884","Cases","All pathogens","Haemolytic uremic syndrome","<5","Beef",4.15980795698566,1.57915774185143,10.4683999900266
"885","Cases","All pathogens","Haemolytic uremic syndrome","<5","Dairy",1.80466408693303,0.683578057362555,4.58152522301427
"886","Cases","All pathogens","Haemolytic uremic syndrome","<5","Eggs",0.0374139362111155,0.011649534724523,0.111742804430061
"887","Cases","All pathogens","Haemolytic uremic syndrome","<5","Fin fish",0,0,0
"888","Cases","All pathogens","Haemolytic uremic syndrome","<5","Fruit",0.505686714027561,0.191146200359646,1.27922843713623
"889","Cases","All pathogens","Haemolytic uremic syndrome","<5","Lamb",0.810825235754913,0.307533931632865,2.04716791157669
"890","Cases","All pathogens","Haemolytic uremic syndrome","<5","Nuts",0,0,0
"891","Cases","All pathogens","Haemolytic uremic syndrome","<5","Other",0.472664763138249,0.175979867845822,1.21966626220518
"892","Cases","All pathogens","Haemolytic uremic syndrome","<5","Pork",0.892784519830245,0.33887823063917,2.24498165332794
"893","Cases","All pathogens","Haemolytic uremic syndrome","<5","Poultry",0.505386861123533,0.190987117634461,1.27808565992946
"894","Cases","All pathogens","Haemolytic uremic syndrome","<5","Seeds and grains",0.5054580202211,0.1914105248164,1.27960902723131
"895","Cases","All pathogens","Haemolytic uremic syndrome","<5","Shellfish",0,0,0
"896","Cases","All pathogens","Haemolytic uremic syndrome","<5","Vegetables",2.37741542126205,0.901650852306275,5.99369585499224
"897","Cases","All pathogens","Haemolytic uremic syndrome","5-64","AllFood",52.4642649255466,19.9374923631381,132.044134970184
"898","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Beef",18.1246509114053,6.88052984682508,45.611743951199
"899","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Dairy",7.8630809225417,2.97841001039165,19.9621103107617
"900","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Eggs",0.163015826706443,0.0507580523778017,0.486873274703744
"901","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Fin fish",0,0,0
"902","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Fruit",2.20332170548728,0.832840888421825,5.57371135850173
"903","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Lamb",3.53283721272193,1.33995251989872,8.91969151894339
"904","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Nuts",0,0,0
"905","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Other",2.05944214699053,0.766759837262303,5.31419369823654
"906","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Pork",3.88994105697981,1.47652240087073,9.7815834744841
"907","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Poultry",2.2020152198835,0.832147750928501,5.56873217721345
"908","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Seeds and grains",2.20232526636063,0.833992573440834,5.57536962318243
"909","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Shellfish",0,0,0
"910","Cases","All pathogens","Haemolytic uremic syndrome","5-64","Vegetables",10.3586091058373,3.92857245118218,26.1150625615878
"911","Cases","All pathogens","Haemolytic uremic syndrome","65+","AllFood",13.6735668877355,5.19623472830434,34.4141734228094
"912","Cases","All pathogens","Haemolytic uremic syndrome","65+","Beef",4.7237605807621,1.79324698853851,11.8876197478047
"913","Cases","All pathogens","Haemolytic uremic syndrome","65+","Dairy",2.04932563318346,0.776251960338827,5.20265081273719
"914","Cases","All pathogens","Haemolytic uremic syndrome","65+","Eggs",0.0424862106310511,0.0132288830361769,0.126891976795253
"915","Cases","All pathogens","Haemolytic uremic syndrome","65+","Fin fish",0,0,0
"916","Cases","All pathogens","Haemolytic uremic syndrome","65+","Fruit",0.574243568606825,0.217060233491077,1.4526557301729
"917","Cases","All pathogens","Haemolytic uremic syndrome","65+","Lamb",0.920750266875697,0.349226858190541,2.32470613617329
"918","Cases","All pathogens","Haemolytic uremic syndrome","65+","Nuts",0,0,0
"919","Cases","All pathogens","Haemolytic uremic syndrome","65+","Other",0.536744772623025,0.199837774083252,1.38501860438413
"920","Cases","All pathogens","Haemolytic uremic syndrome","65+","Pork",1.01382091805621,0.384820560017318,2.54933784159815
"921","Cases","All pathogens","Haemolytic uremic syndrome","65+","Poultry",0.573903064106924,0.216879583635584,1.45135802461107
"922","Cases","All pathogens","Haemolytic uremic syndrome","65+","Seeds and grains",0.573983870370946,0.2173603928884,1.45308791754961
"923","Cases","All pathogens","Haemolytic uremic syndrome","65+","Shellfish",0,0,0
"924","Cases","All pathogens","Haemolytic uremic syndrome","65+","Vegetables",2.69972589292114,1.02388927512444,6.80627194948825
"925","Cases","All pathogens","Initial","<5","AllFood",36291.262651946,19098.0203409936,59479.8698101174
"926","Cases","All pathogens","Initial","<5","Beef",1048.93527300219,562.973793000755,1979.6635453635
"927","Cases","All pathogens","Initial","<5","Dairy",234.369651168732,135.893431277018,403.197129572468
"928","Cases","All pathogens","Initial","<5","Eggs",5342.01387554854,2759.65855674877,10116.9036526662
