"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"52","Cases","Non-typhoidal Salmonella","Initial","<5","Poultry",3459.37282371968,1675.17079085829,7001.04763176916
"53","Cases","Non-typhoidal Salmonella","Initial","<5","Seeds and grains",226.74086508019,113.579260741315,441.958035876286
"54","Cases","Non-typhoidal Salmonella","Initial","<5","Shellfish",43.5192238225641,20.7272580840594,88.5945698292309
"55","Cases","Non-typhoidal Salmonella","Initial","<5","Vegetables",1202.25739942907,624.890240960508,2280.13890537379
"56","Cases","Non-typhoidal Salmonella","Initial","<5","AllFood",14665.2697791011,8159.41843600785,25861.4927350191
"57","Cases","Non-typhoidal Salmonella","Initial","5-64","Beef",2323.30016944876,1107.73622668634,4727.32171472777
"58","Cases","Non-typhoidal Salmonella","Initial","5-64","Dairy",422.894213993132,208.517486780349,833.258857106345
"59","Cases","Non-typhoidal Salmonella","Initial","5-64","Eggs",13931.6651715842,7195.33287514806,26388.0860750844
"60","Cases","Non-typhoidal Salmonella","Initial","5-64","Fin fish",45.486851704519,22.5159138487889,89.4157648777756
"61","Cases","Non-typhoidal Salmonella","Initial","5-64","Fruit",940.086088528003,412.046075668101,2026.50304986897
"62","Cases","Non-typhoidal Salmonella","Initial","5-64","Lamb",1899.0218883363,885.181895094681,3923.98776485915
"63","Cases","Non-typhoidal Salmonella","Initial","5-64","Nuts",1560.85407163958,673.206379562521,3405.24369403237
"64","Cases","Non-typhoidal Salmonella","Initial","5-64","Other",660.736223877168,338.542728296108,1266.36576226124
"65","Cases","Non-typhoidal Salmonella","Initial","5-64","Pork",3316.71422924765,1540.73494840126,6884.64356713817
"66","Cases","Non-typhoidal Salmonella","Initial","5-64","Poultry",9024.23585375701,4369.90665139563,18263.1674213532
"67","Cases","Non-typhoidal Salmonella","Initial","5-64","Seeds and grains",591.483817569107,296.286665027014,1152.90654012896
"68","Cases","Non-typhoidal Salmonella","Initial","5-64","Shellfish",113.525705369039,54.069819901956,231.110763205184
"69","Cases","Non-typhoidal Salmonella","Initial","5-64","Vegetables",3136.24893361642,1630.10961942957,5948.0467442927
"70","Cases","Non-typhoidal Salmonella","Initial","5-64","AllFood",38256.3141035728,21284.9323123418,67463.1564342622
"71","Cases","Non-typhoidal Salmonella","Initial","65+","Beef",526.52983566247,251.046412798614,1071.35356778707
"72","Cases","Non-typhoidal Salmonella","Initial","65+","Dairy",95.8405736479777,47.2563465930699,188.84156893106
