"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"33","All gastro pathogens","65+","Gastroenteritis","FrictionHigh",104196875.674792,31480938.5619007,556511537.940239
"34","All gastro pathogens","65+","Gastroenteritis","FrictionLow",39073828.378047,11805351.9607128,208691826.727589
"35","All gastro pathogens","65+","Gastroenteritis","HumanCapital",130246094.59349,39351173.2023758,695639422.425298
"36","All gastro pathogens","65+","Gastroenteritis","WTP",25561459.3945702,15277780.6936767,40860166.9709637
"37","All gastro pathogens","All Ages","All Diseases","Deaths",184288408.348841,111089668.890643,295662729.444489
"38","All gastro pathogens","All Ages","All Diseases","Direct",306331981.662264,213443657.887638,421461382.818434
"39","All gastro pathogens","All Ages","All Diseases","FrictionHigh",1132734824.77277,637162135.728497,2061387058.1897
"40","All gastro pathogens","All Ages","All Diseases","FrictionLow",424775559.289788,238935800.898186,773020146.821136
"41","All gastro pathogens","All Ages","All Diseases","HumanCapital",1415918530.96596,796452669.660621,2576733822.73712
"42","All gastro pathogens","All Ages","All Diseases","WTP",156484556.963449,92625039.4326966,252873581.661419
"43","All gastro pathogens","All Ages","Gastroenteritis","Deaths",184288408.348841,111089668.890643,295662729.444489
"44","All gastro pathogens","All Ages","Gastroenteritis","Direct",306331981.662264,213443657.887638,421461382.818434
"45","All gastro pathogens","All Ages","Gastroenteritis","FrictionHigh",1132734824.77277,637162135.728497,2061387058.1897
"46","All gastro pathogens","All Ages","Gastroenteritis","FrictionLow",424775559.289788,238935800.898186,773020146.821136
"47","All gastro pathogens","All Ages","Gastroenteritis","HumanCapital",1415918530.96596,796452669.660621,2576733822.73712
"48","All gastro pathogens","All Ages","Gastroenteritis","WTP",156484556.963449,92625039.4326966,252873581.661419
"49","Campylobacter","<5","All Diseases","Deaths",1540824.85032791,452064.097829801,4042581.18760797
"50","Campylobacter","<5","All Diseases","Direct",4498507.45232903,2968431.86644437,6957345.01734556
"51","Campylobacter","<5","All Diseases","FrictionHigh",9995982.82567399,5649181.55807314,16796835.2331067
"52","Campylobacter","<5","All Diseases","FrictionLow",3748493.55962775,2118443.08427743,6298813.21241503
"53","Campylobacter","<5","All Diseases","HumanCapital",12494978.5320925,7061476.94759142,20996044.0413834
"54","Campylobacter","<5","All Diseases","WTP",8421736.75451667,5069100.87905427,13707849.5436919
"55","Campylobacter","<5","Campylobacteriosis","Deaths",1201283.06961202,219920.170172102,3795839.37275705
"56","Campylobacter","<5","Campylobacteriosis","Direct",2396964.72753185,1557719.41612933,3851894.65727594
"57","Campylobacter","<5","Campylobacteriosis","FrictionHigh",4518749.21697887,2346535.61664379,8526126.84229643
"58","Campylobacter","<5","Campylobacteriosis","FrictionLow",1694530.95636707,879950.85624142,3197297.56586116
"59","Campylobacter","<5","Campylobacteriosis","HumanCapital",5648436.52122358,2933169.52080473,10657658.5528705
"60","Campylobacter","<5","Campylobacteriosis","WTP",3592295.43471808,2198862.73835433,5838651.83295982
"61","Campylobacter","<5","GBS","Deaths",55190.3392336372,553.046775126132,540958.26778045
"62","Campylobacter","<5","GBS","Direct",276983.106787228,139533.150360262,557283.520688871
"63","Campylobacter","<5","GBS","FrictionHigh",136324.965657838,68635.2967896662,273967.513085687
"64","Campylobacter","<5","GBS","FrictionLow",51121.8621216892,25738.2362961248,102737.817407133
"65","Campylobacter","<5","GBS","HumanCapital",170406.207072298,85794.1209870828,342459.391357109
"66","Campylobacter","<5","GBS","WTP",15487.7348142465,7836.98234919257,31034.036793703
"67","Campylobacter","<5","IBS","Deaths",21903.1367720953,175.436677120578,203275.391868144
"68","Campylobacter","<5","IBS","Direct",1036202.01814245,611546.650367144,1675053.14732457
"69","Campylobacter","<5","IBS","FrictionHigh",1868557.76801852,1096873.43128287,3015474.7968285
"70","Campylobacter","<5","IBS","FrictionLow",700709.163006945,411327.536731076,1130803.04881069
"71","Campylobacter","<5","IBS","HumanCapital",2335697.21002315,1371091.78910359,3769343.49603563
"72","Campylobacter","<5","IBS","WTP",2865423.92547395,1627441.78533068,5000593.75986324
"73","Campylobacter","<5","ReactiveArthritis","Deaths",54558.8046626757,410.648045308393,538097.687061143
"74","Campylobacter","<5","ReactiveArthritis","Direct",710852.6221867,356971.610517946,1281046.00901241
"75","Campylobacter","<5","ReactiveArthritis","FrictionHigh",3047928.77302736,1469151.54401966,6212565.96647718
"76","Campylobacter","<5","ReactiveArthritis","FrictionLow",1142973.28988526,550931.829007373,2329712.23742894
"77","Campylobacter","<5","ReactiveArthritis","HumanCapital",3809910.9662842,1836439.43002458,7765707.45809648
"78","Campylobacter","<5","ReactiveArthritis","WTP",1826637.39097341,892546.125833626,3678368.28956764
"79","Campylobacter","5-64","All Diseases","Deaths",12097730.0161051,6854924.70610083,20053947.0195805
"80","Campylobacter","5-64","All Diseases","Direct",39460725.4102139,28449422.4613874,59226990.8569825
"81","Campylobacter","5-64","All Diseases","FrictionHigh",93284669.2253678,57918878.2339664,154832129.70834
"82","Campylobacter","5-64","All Diseases","FrictionLow",34981750.9595129,21719579.3377374,58062048.6406274
"83","Campylobacter","5-64","All Diseases","HumanCapital",116605836.53171,72398597.792458,193540162.135425
"84","Campylobacter","5-64","All Diseases","WTP",61106564.6502957,36730244.2327591,98790899.2275207
"85","Campylobacter","5-64","Campylobacteriosis","Deaths",6539646.91406087,3088376.05141849,12264638.0194706
"86","Campylobacter","5-64","Campylobacteriosis","Direct",20210104.7327234,14028878.1928887,31344687.9676571
"87","Campylobacter","5-64","Campylobacteriosis","FrictionHigh",49108316.8918758,29767773.5276579,82818186.4452986
"88","Campylobacter","5-64","Campylobacteriosis","FrictionLow",18415618.8344534,11162915.0728717,31056819.916987
"89","Campylobacter","5-64","Campylobacteriosis","HumanCapital",61385396.1148448,37209716.9095723,103522733.056623
"90","Campylobacter","5-64","Campylobacteriosis","WTP",25905021.3286164,15877968.1474222,41921769.043038
"91","Campylobacter","5-64","GBS","Deaths",4911717.94708236,1827058.22740888,9959360.39193651
"92","Campylobacter","5-64","GBS","Direct",1992141.39367027,1003321.77930741,4005927.76363845
"93","Campylobacter","5-64","GBS","FrictionHigh",1147174.92569496,577566.193505292,2305437.30526763
"94","Campylobacter","5-64","GBS","FrictionLow",430190.597135612,216587.322564485,864538.989475359
"95","Campylobacter","5-64","GBS","HumanCapital",1433968.65711871,721957.741881615,2881796.63158453
"96","Campylobacter","5-64","GBS","WTP",134065.099561826,67039.1063230157,273556.245383153
"97","Campylobacter","5-64","IBS","Deaths",26678.3783241256,156.45626001541,267737.831252366
"98","Campylobacter","5-64","IBS","Direct",11768677.8631147,7194475.13570703,19072905.3990193
"99","Campylobacter","5-64","IBS","FrictionHigh",15740130.3558856,9239709.41000568,25401390.9547473
"100","Campylobacter","5-64","IBS","FrictionLow",5902548.88345712,3464891.02875213,9525521.60803023
"101","Campylobacter","5-64","IBS","HumanCapital",19675162.9448571,11549636.7625071,31751738.6934341
"102","Campylobacter","5-64","IBS","WTP",20758010.2745484,11908329.2816127,36684022.9971769
"103","Campylobacter","5-64","ReactiveArthritis","Deaths",87462.9017645269,939.578580773819,679581.177833086
"104","Campylobacter","5-64","ReactiveArthritis","Direct",5305566.12612467,3057283.75469154,9032329.85184691
"105","Campylobacter","5-64","ReactiveArthritis","FrictionHigh",25741013.2082361,12407589.5848276,52467677.0714982
"106","Campylobacter","5-64","ReactiveArthritis","FrictionLow",9652879.95308852,4652846.09431034,19675378.9018118
"107","Campylobacter","5-64","ReactiveArthritis","HumanCapital",32176266.5102951,15509486.9810345,65584596.3393727
"108","Campylobacter","5-64","ReactiveArthritis","WTP",13138606.880347,6385716.12275121,26227661.4585497
"109","Campylobacter","65+","All Diseases","Deaths",42383726.6014644,24052822.8087751,68850322.6762363
"110","Campylobacter","65+","All Diseases","Direct",24494312.7599797,18331372.3052163,31510376.4378879
"111","Campylobacter","65+","All Diseases","FrictionHigh",12970825.4385501,6407012.74055788,41815350.808486
"112","Campylobacter","65+","All Diseases","FrictionLow",4864059.53945627,2402629.77770921,15680756.5531823
"113","Campylobacter","65+","All Diseases","HumanCapital",16213531.7981876,8008765.92569735,52269188.5106075
"114","Campylobacter","65+","All Diseases","WTP",17315536.4982628,10559432.5766876,28454863.0542142
"115","Campylobacter","65+","Campylobacteriosis","Deaths",8688533.48012574,4216455.75706149,16575687.9388903
"116","Campylobacter","65+","Campylobacteriosis","Direct",18871352.1605753,13755890.8883774,24465321.7009701
"117","Campylobacter","65+","Campylobacteriosis","FrictionHigh",7632715.90779375,2663386.61996574,35259638.9329677
"118","Campylobacter","65+","Campylobacteriosis","FrictionLow",2862268.46542266,998769.982487151,13222364.5998629
"119","Campylobacter","65+","Campylobacteriosis","HumanCapital",9540894.88474219,3329233.27495717,44074548.6662096
"120","Campylobacter","65+","Campylobacteriosis","WTP",7443760.10734664,4645005.96725553,11969999.0707504
"121","Campylobacter","65+","GBS","Deaths",31268126.574868,13620399.8070222,56742225.1994372
"122","Campylobacter","65+","GBS","Direct",562941.212211861,283352.117362415,1130948.56683435
"123","Campylobacter","65+","GBS","FrictionHigh",132235.647358988,66576.4547151086,265749.353197324
"124","Campylobacter","65+","GBS","FrictionLow",49588.3677596205,24966.1705181657,99656.0074489967
"125","Campylobacter","65+","GBS","HumanCapital",165294.559198735,83220.5683938858,332186.691496656
"126","Campylobacter","65+","GBS","WTP",61180.085852561,31145.2436566641,124097.940918353
"127","Campylobacter","65+","IBS","Deaths",1436234.90259993,600070.10920152,4271782.20400736
"128","Campylobacter","65+","IBS","Direct",3329273.31011281,2063611.91220284,5166994.20319886
"129","Campylobacter","65+","IBS","FrictionHigh",1816262.67513909,1066175.37155591,2931081.08030833
"130","Campylobacter","65+","IBS","FrictionLow",681098.50317716,399815.764333465,1099155.40511563
"131","Campylobacter","65+","IBS","HumanCapital",2270328.34392387,1332719.21444488,3663851.35038542
"132","Campylobacter","65+","IBS","WTP",5985220.39154089,3267589.34952416,10091201.6325573
"133","Campylobacter","65+","ReactiveArthritis","Deaths",119310.864318872,1204.65731158844,961083.512417152
"134","Campylobacter","65+","ReactiveArthritis","Direct",1451538.79788429,839969.24233528,2473864.12166557
"135","Campylobacter","65+","ReactiveArthritis","FrictionHigh",2990375.45541929,1441409.90314681,6095255.55378188
"136","Campylobacter","65+","ReactiveArthritis","FrictionLow",1121390.79578223,540528.713680055,2285720.83266821
"137","Campylobacter","65+","ReactiveArthritis","HumanCapital",3737969.31927412,1801762.37893352,7619069.44222735
"138","Campylobacter","65+","ReactiveArthritis","WTP",3693714.75235283,1779327.44814398,7427705.58177323
"139","Campylobacter","All Ages","All Diseases","Deaths",56580873.2505686,37875384.6813906,83775485.4133278
"140","Campylobacter","All Ages","All Diseases","Direct",69019072.4119468,51448558.0413499,95139404.6399197
"141","Campylobacter","All Ages","All Diseases","FrictionHigh",118422303.10122,71129363.7760681,201762505.979582
"142","Campylobacter","All Ages","All Diseases","FrictionLow",44408363.6629576,26673511.4160255,75660939.7423432
"143","Campylobacter","All Ages","All Diseases","HumanCapital",148027878.876525,88911704.7200851,252203132.474477
"144","Campylobacter","All Ages","All Diseases","WTP",86721529.0306439,52400938.3973428,140107601.708087
"145","Campylobacter","All Ages","Campylobacteriosis","Deaths",17489267.7868282,10733607.5641467,27010501.4431631
"146","Campylobacter","All Ages","Campylobacteriosis","Direct",41703198.8214633,32034737.634187,56181602.5314883
"147","Campylobacter","All Ages","Campylobacteriosis","FrictionHigh",63696921.5244113,37530670.0744569,114884853.280882
"148","Campylobacter","All Ages","Campylobacteriosis","FrictionLow",23886345.5716542,14074001.2779213,43081819.9803309
"149","Campylobacter","All Ages","Campylobacteriosis","HumanCapital",79621151.9055141,46913337.5930711,143606066.601103
"150","Campylobacter","All Ages","Campylobacteriosis","WTP",36938389.1020931,22721014.7630376,59731419.2452061
"151","Campylobacter","All Ages","GBS","Deaths",35917957.1934377,18729308.1472934,62931388.8701982
"152","Campylobacter","All Ages","GBS","Direct",2832161.55631214,1426287.23725659,5694159.85116167
"153","Campylobacter","All Ages","GBS","FrictionHigh",1415735.53871179,712777.945010067,2845154.17155064
"154","Campylobacter","All Ages","GBS","FrictionLow",530900.827016921,267291.729378775,1066932.81433149
"155","Campylobacter","All Ages","GBS","HumanCapital",1769669.42338974,890972.431262584,3556442.7144383
"156","Campylobacter","All Ages","GBS","WTP",210640.185083507,105797.427635442,425975.98153578
"157","Campylobacter","All Ages","IBS","Deaths",1555265.27241781,681204.915550235,4363145.51538847
"158","Campylobacter","All Ages","IBS","Direct",16295138.5771552,10151755.4848683,25419036.4457716
"159","Campylobacter","All Ages","IBS","FrictionHigh",19424950.7990433,11402758.2128445,31347946.8318841
"160","Campylobacter","All Ages","IBS","FrictionLow",7284356.54964122,4276034.32981667,11755480.0619565
"161","Campylobacter","All Ages","IBS","HumanCapital",24281188.4988041,14253447.7660556,39184933.5398552
"162","Campylobacter","All Ages","IBS","WTP",29733403.8756959,17227300.0465941,50686391.19377
"163","Campylobacter","All Ages","ReactiveArthritis","Deaths",452015.92212894,61972.5559196481,1519263.36441854
"164","Campylobacter","All Ages","ReactiveArthritis","Direct",7478492.77818503,4512888.25208025,12478760.0901519
"165","Campylobacter","All Ages","ReactiveArthritis","FrictionHigh",31779317.4366827,15318151.031994,64775498.5917572
"166","Campylobacter","All Ages","ReactiveArthritis","FrictionLow",11917244.038756,5744306.63699777,24290811.971909
"167","Campylobacter","All Ages","ReactiveArthritis","HumanCapital",39724146.7958534,19147688.7899926,80969373.2396965
"168","Campylobacter","All Ages","ReactiveArthritis","WTP",18723757.440334,9079860.32159557,37259690.8781442
"169","Escherichia coli (Non-STEC)","<5","All Diseases","Deaths",51498.8860899878,336.204670852753,705947.054022081
"170","Escherichia coli (Non-STEC)","<5","All Diseases","Direct",1247360.92794258,437438.842882777,3157392.44872543
"171","Escherichia coli (Non-STEC)","<5","All Diseases","FrictionHigh",3350311.05846947,1144452.25277027,8804524.49872253
"172","Escherichia coli (Non-STEC)","<5","All Diseases","FrictionLow",1256366.64692605,429169.594788851,3301696.68702095
"173","Escherichia coli (Non-STEC)","<5","All Diseases","HumanCapital",4187888.82308683,1430565.31596284,11005655.6234032
"174","Escherichia coli (Non-STEC)","<5","All Diseases","WTP",626658.995462338,239576.903225459,1431112.1226054
"175","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","Deaths",51498.8860899878,336.204670852753,705947.054022081
"176","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","Direct",1247360.92794258,437438.842882777,3157392.44872543
"177","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","FrictionHigh",3350311.05846947,1144452.25277027,8804524.49872253
"178","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","FrictionLow",1256366.64692605,429169.594788851,3301696.68702095
"179","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","HumanCapital",4187888.82308683,1430565.31596284,11005655.6234032
"180","Escherichia coli (Non-STEC)","<5","Escherichia coli (Non-STEC)","WTP",626658.995462338,239576.903225459,1431112.1226054
"181","Escherichia coli (Non-STEC)","5-64","All Diseases","Deaths",1704692.84218021,579906.041396781,4773618.66742965
"182","Escherichia coli (Non-STEC)","5-64","All Diseases","Direct",16982191.8289967,5987729.01290633,42125516.3928802
"183","Escherichia coli (Non-STEC)","5-64","All Diseases","FrictionHigh",63126694.0021462,23908937.1199863,146838260.214696
"184","Escherichia coli (Non-STEC)","5-64","All Diseases","FrictionLow",23672510.2508048,8965851.41999488,55064347.5805112
"185","Escherichia coli (Non-STEC)","5-64","All Diseases","HumanCapital",78908367.5026827,29886171.3999829,183547825.268371
"186","Escherichia coli (Non-STEC)","5-64","All Diseases","WTP",7902113.13062718,3021851.0614115,18041736.4579345
"187","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","Deaths",1704692.84218021,579906.041396781,4773618.66742965
"188","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","Direct",16982191.8289967,5987729.01290633,42125516.3928802
"189","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","FrictionHigh",63126694.0021462,23908937.1199863,146838260.214696
"190","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","FrictionLow",23672510.2508048,8965851.41999488,55064347.5805112
"191","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","HumanCapital",78908367.5026827,29886171.3999829,183547825.268371
"192","Escherichia coli (Non-STEC)","5-64","Escherichia coli (Non-STEC)","WTP",7902113.13062718,3021851.0614115,18041736.4579345
"193","Escherichia coli (Non-STEC)","65+","All Diseases","Deaths",710554.176219496,125244.50360976,2487107.06502824
"194","Escherichia coli (Non-STEC)","65+","All Diseases","Direct",4098002.48983056,1499055.32126273,9953120.97608676
"195","Escherichia coli (Non-STEC)","65+","All Diseases","FrictionHigh",7063803.25317694,1466421.94577005,41072222.2678075
"196","Escherichia coli (Non-STEC)","65+","All Diseases","FrictionLow",2648926.21994135,549908.229663767,15402083.3504278
"197","Escherichia coli (Non-STEC)","65+","All Diseases","HumanCapital",8829754.06647118,1833027.43221256,51340277.8347594
"198","Escherichia coli (Non-STEC)","65+","All Diseases","WTP",1619991.68983272,621136.045136346,3689592.2157448
"199","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","Deaths",710554.176219496,125244.50360976,2487107.06502824
"200","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","Direct",4098002.48983056,1499055.32126273,9953120.97608676
"201","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","FrictionHigh",7063803.25317694,1466421.94577005,41072222.2678075
"202","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","FrictionLow",2648926.21994135,549908.229663767,15402083.3504278
"203","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","HumanCapital",8829754.06647118,1833027.43221256,51340277.8347594
"204","Escherichia coli (Non-STEC)","65+","Escherichia coli (Non-STEC)","WTP",1619991.68983272,621136.045136346,3689592.2157448
"205","Escherichia coli (Non-STEC)","All Ages","All Diseases","Deaths",2832310.68358914,1162824.98784134,6157148.59641273
"206","Escherichia coli (Non-STEC)","All Ages","All Diseases","Direct",22101678.6655137,8152378.85612652,54364977.8844366
"207","Escherichia coli (Non-STEC)","All Ages","All Diseases","FrictionHigh",76099862.0899674,28449343.0064877,183346791.762336
"208","Escherichia coli (Non-STEC)","All Ages","All Diseases","FrictionLow",28537448.2837378,10668503.6274329,68755046.9108761
"209","Escherichia coli (Non-STEC)","All Ages","All Diseases","HumanCapital",95124827.6124592,35561678.7581096,229183489.70292
"210","Escherichia coli (Non-STEC)","All Ages","All Diseases","WTP",10148763.8159222,3883446.06817605,23162440.7962847
"211","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","Deaths",2832310.68358914,1162824.98784134,6157148.59641273
"212","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","Direct",22101678.6655137,8152378.85612652,54364977.8844366
"213","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","FrictionHigh",76099862.0899674,28449343.0064877,183346791.762336
"214","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","FrictionLow",28537448.2837378,10668503.6274329,68755046.9108761
"215","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","HumanCapital",95124827.6124592,35561678.7581096,229183489.70292
"216","Escherichia coli (Non-STEC)","All Ages","Escherichia coli (Non-STEC)","WTP",10148763.8159222,3883446.06817605,23162440.7962847
"217","Listeria monocytogenes","<5","All Diseases","Deaths",248701.779949515,1381.18790635033,2333648.31814848
"218","Listeria monocytogenes","<5","All Diseases","Direct",343348.376190978,175611.785295231,522332.29499907
"219","Listeria monocytogenes","<5","All Diseases","FrictionHigh",21614.4333946324,11065.3085393822,32897.6227148335
"220","Listeria monocytogenes","<5","All Diseases","FrictionLow",8105.41252298717,4149.49070226831,12336.6085180626
"221","Listeria monocytogenes","<5","All Diseases","HumanCapital",27018.0417432906,13831.6356742277,41122.0283935419
"222","Listeria monocytogenes","<5","All Diseases","WTP",6413.7162527109,3283.44249995099,9761.81117632611
"223","Listeria monocytogenes","<5","Listeriosis","Deaths",248701.779949515,1381.18790635033,2333648.31814848
"224","Listeria monocytogenes","<5","Listeriosis","Direct",343348.376190978,175611.785295231,522332.29499907
"225","Listeria monocytogenes","<5","Listeriosis","FrictionHigh",21614.4333946324,11065.3085393822,32897.6227148335
"226","Listeria monocytogenes","<5","Listeriosis","FrictionLow",8105.41252298717,4149.49070226831,12336.6085180626
"227","Listeria monocytogenes","<5","Listeriosis","HumanCapital",27018.0417432906,13831.6356742277,41122.0283935419
"228","Listeria monocytogenes","<5","Listeriosis","WTP",6413.7162527109,3283.44249995099,9761.81117632611
"229","Listeria monocytogenes","5-64","All Diseases","Deaths",21843457.2685455,12999356.4308487,34080056.4011792
"230","Listeria monocytogenes","5-64","All Diseases","Direct",1030443.95678532,527687.146755829,1566399.54782609
"231","Listeria monocytogenes","5-64","All Diseases","FrictionHigh",71179.620844047,36439.746162914,108336.881599398
"232","Listeria monocytogenes","5-64","All Diseases","FrictionLow",26692.3578165176,13664.9048110927,40626.3305997741
"233","Listeria monocytogenes","5-64","All Diseases","HumanCapital",88974.5260550588,45549.6827036425,135421.101999247
"234","Listeria monocytogenes","5-64","All Diseases","WTP",19241.1487581327,9850.32749985297,29285.4335289783
"235","Listeria monocytogenes","5-64","Listeriosis","Deaths",21843457.2685455,12999356.4308487,34080056.4011792
"236","Listeria monocytogenes","5-64","Listeriosis","Direct",1030443.95678532,527687.146755829,1566399.54782609
"237","Listeria monocytogenes","5-64","Listeriosis","FrictionHigh",71179.620844047,36439.746162914,108336.881599398
"238","Listeria monocytogenes","5-64","Listeriosis","FrictionLow",26692.3578165176,13664.9048110927,40626.3305997741
"239","Listeria monocytogenes","5-64","Listeriosis","HumanCapital",88974.5260550588,45549.6827036425,135421.101999247
"240","Listeria monocytogenes","5-64","Listeriosis","WTP",19241.1487581327,9850.32749985297,29285.4335289783
"241","Listeria monocytogenes","65+","All Diseases","Deaths",36900002.3618705,22970802.0891684,56252182.192752
"242","Listeria monocytogenes","65+","All Diseases","Direct",2197153.60933392,1125168.54668798,3343786.23229543
"243","Listeria monocytogenes","65+","All Diseases","FrictionHigh",67462.6302803956,34536.8673469933,102679.543700919
"244","Listeria monocytogenes","65+","All Diseases","FrictionLow",25298.4863551484,12951.3252551225,38504.8288878445
"245","Listeria monocytogenes","65+","All Diseases","HumanCapital",84328.2878504946,43171.0841837416,128349.429626148
"246","Listeria monocytogenes","65+","All Diseases","WTP",41047.7840173498,21014.0319996863,62475.5915284871
"247","Listeria monocytogenes","65+","Listeriosis","Deaths",36900002.3618705,22970802.0891684,56252182.192752
"248","Listeria monocytogenes","65+","Listeriosis","Direct",2197153.60933392,1125168.54668798,3343786.23229543
"249","Listeria monocytogenes","65+","Listeriosis","FrictionHigh",67462.6302803956,34536.8673469933,102679.543700919
"250","Listeria monocytogenes","65+","Listeriosis","FrictionLow",25298.4863551484,12951.3252551225,38504.8288878445
"251","Listeria monocytogenes","65+","Listeriosis","HumanCapital",84328.2878504946,43171.0841837416,128349.429626148
"252","Listeria monocytogenes","65+","Listeriosis","WTP",41047.7840173498,21014.0319996863,62475.5915284871
"253","Listeria monocytogenes","All Ages","All Diseases","Deaths",60277337.8760556,42392260.4317982,82998861.0738987
"254","Listeria monocytogenes","All Ages","All Diseases","Direct",3571707.34888764,1828467.47873904,5433241.08922437
"255","Listeria monocytogenes","All Ages","All Diseases","FrictionHigh",160256.684519075,82041.9220492894,243914.04801515
"256","Listeria monocytogenes","All Ages","All Diseases","FrictionLow",60096.2566946532,30765.7207684835,91467.7680056812
"257","Listeria monocytogenes","All Ages","All Diseases","HumanCapital",200320.855648844,102552.402561612,304892.560018937
"258","Listeria monocytogenes","All Ages","All Diseases","WTP",66702.6490281934,34147.8019994903,101522.836233792
"259","Listeria monocytogenes","All Ages","Listeriosis","Deaths",60277337.8760556,42392260.4317982,82998861.0738987
"260","Listeria monocytogenes","All Ages","Listeriosis","Direct",3571707.34888764,1828467.47873904,5433241.08922437
"261","Listeria monocytogenes","All Ages","Listeriosis","FrictionHigh",160256.684519075,82041.9220492894,243914.04801515
"262","Listeria monocytogenes","All Ages","Listeriosis","FrictionLow",60096.2566946532,30765.7207684835,91467.7680056812
"263","Listeria monocytogenes","All Ages","Listeriosis","HumanCapital",200320.855648844,102552.402561612,304892.560018937
"264","Listeria monocytogenes","All Ages","Listeriosis","WTP",66702.6490281934,34147.8019994903,101522.836233792
"265","Non-typhoidal salmonella","<5","All Diseases","Deaths",2619319.62367746,940649.796681983,5877832.10867607
"266","Non-typhoidal salmonella","<5","All Diseases","Direct",4133575.52106889,2826150.06262424,5809744.18379776
"267","Non-typhoidal salmonella","<5","All Diseases","FrictionHigh",6255118.89515339,3207592.54657299,11655636.6576329
"268","Non-typhoidal salmonella","<5","All Diseases","FrictionLow",2345669.58568252,1202847.20496487,4370863.74661232
"269","Non-typhoidal salmonella","<5","All Diseases","HumanCapital",7818898.61894174,4009490.68321624,14569545.8220411
"270","Non-typhoidal salmonella","<5","All Diseases","WTP",5209204.41891124,2690624.50258231,9199463.08209227
"271","Non-typhoidal salmonella","<5","IBS","Deaths",11396.005446803,136.390500995609,120784.612516846
"272","Non-typhoidal salmonella","<5","IBS","Direct",583937.199555676,304238.181113613,1057855.60519502
"273","Non-typhoidal salmonella","<5","IBS","FrictionHigh",1054648.04699447,558562.527491114,1919051.94500115
"274","Non-typhoidal salmonella","<5","IBS","FrictionLow",395493.017622927,209460.947809168,719644.479375432
"275","Non-typhoidal salmonella","<5","IBS","HumanCapital",1318310.05874309,698203.159363892,2398814.93125144
"276","Non-typhoidal salmonella","<5","IBS","WTP",1597842.70511051,814157.304296578,3159452.69750613
"277","Non-typhoidal salmonella","<5","ReactiveArthritis","Deaths",42388.9166832875,402.548295332711,420742.532683608
"278","Non-typhoidal salmonella","<5","ReactiveArthritis","Direct",508125.65094033,158168.37723756,1104722.14623325
"279","Non-typhoidal salmonella","<5","ReactiveArthritis","FrictionHigh",2254625.29972928,595927.304552069,5331489.68169948
"280","Non-typhoidal salmonella","<5","ReactiveArthritis","FrictionLow",845484.48739848,223472.739207026,1999308.6306373
"281","Non-typhoidal salmonella","<5","ReactiveArthritis","HumanCapital",2818281.6246616,744909.130690086,6664362.10212435
"282","Non-typhoidal salmonella","<5","ReactiveArthritis","WTP",1348069.89212161,364064.352922084,3205159.05663582
"283","Non-typhoidal salmonella","<5","Salmonellosis","Deaths",2500481.95404849,826939.403320714,5579776.22606174
"284","Non-typhoidal salmonella","<5","Salmonellosis","Direct",2964958.93740867,2062822.72448853,4164616.65959788
"285","Non-typhoidal salmonella","<5","Salmonellosis","FrictionHigh",2768560.95243949,1450171.56267143,5516316.9495973
"286","Non-typhoidal salmonella","<5","Salmonellosis","FrictionLow",1038210.35716481,543814.336001785,2068618.85609899
"287","Non-typhoidal salmonella","<5","Salmonellosis","HumanCapital",3460701.19054937,1812714.45333928,6895396.18699663
"288","Non-typhoidal salmonella","<5","Salmonellosis","WTP",2113969.61455645,1183038.6178046,3589778.06479301
"289","Non-typhoidal salmonella","5-64","All Diseases","Deaths",15460094.9729873,8613003.61540008,24971364.3519754
"290","Non-typhoidal salmonella","5-64","All Diseases","Direct",10964439.0781193,7499910.67797586,16265648.3083601
"291","Non-typhoidal salmonella","5-64","All Diseases","FrictionHigh",21569585.2238894,10977240.4838884,38096818.574802
"292","Non-typhoidal salmonella","5-64","All Diseases","FrictionLow",8088594.45895852,4116465.18145815,14286306.9655508
