SourceName,SourceNumber
Beef,1
Lamb,2
Pork,3
Poultry,4
Eggs,5
Dairy,6
Finfish,7
Crustaceans,8
Molluscs,9
Fruit,10
Grains and seeds,11
Nuts,12
Vegetables,13
Other,14
