 NtS01, NtS02, NtS03, NtS04, NtS05, NtS06, NtS07, NtS08, NtS09, NtS10, NtS11, NtS12, NtS13, NtS14, Cam01, Cam02, Cam03, Cam04, Cam06, Cam13, Cam14, Lim01, Lim02, Lim03, Lim04, Lim06, Lim07, Lim08, Lim09, Lim10, Lim13, Tog01, Tog02, Tog03, Tog04, Tog06, Tog10, Tog13, Tog14, STC01, STC02, STC03, STC06, STC10, STC11, STC12, STC13, STC14, Yer01, Yer02, Yer03, Yer06, Yer07, Yer13, Yer14, Vib07, Vib08, Vib09, BaC01, BaC02, BaC03, BaC04, BaC05, BaC06, BaC07, BaC08, BaC09, BaC10, BaC11, BaC12, BaC13, BaC14
0.225625626,0.099339339,0.105905906,0.702902903,0.456456456,0.022182182,0.000239039,2.14E-07,0.00013015,0.082602603,0.013063063,0.006928929,0.740740741,0.000425025,0.219019019,0.039299299,0.090930931,8.106106106,0.091031031,0.112572573,0.000561161,0.028788789,0.016054054,0.051651652,0.008690691,0.973373373,0.288488488,0.043903904,0.02954955,0.24044044,1.794594595,1.007207207,0.394994995,0.32992993,0.2002002,0.013427427,0.147547548,0.221621622,0.231831832,1.464464464,0.138358358,0.055155155,0.081921922,0.141161161,0.040980981,0.00382983,1.014014014,0.258058058,0.088668669,0.092272272,2.368368368,0.067067067,0.000197197,0.196496496,0.000198999,0.082122122,0.484884885,10.3983984,0.026826827,0.02034034,0.021121121,0.022562563,0.006958959,0.161161161,0.000248448,0.000201802,0.0002004,0.061961962,1.622422422,0.00062963,0.563763764,0.000884284
0.248188188,0.109273273,0.116496496,0.773193193,0.502102102,0.0244004,0.000262943,2.36E-07,0.000143165,0.090862863,0.014369369,0.007621822,0.814814815,0.000467528,0.240920921,0.043229229,0.100024024,8.916716717,0.100134134,0.12382983,0.000617277,0.031667668,0.017659459,0.056816817,0.00955976,1.070710711,0.317337337,0.048294294,0.032504505,0.264484484,1.974054054,1.107927928,0.434494494,0.362922923,0.22022022,0.01477017,0.162302302,0.243783784,0.255015015,1.610910911,0.152194194,0.060670671,0.090114114,0.155277277,0.045079079,0.004212813,1.115415415,0.283863864,0.097535536,0.101499499,2.605205205,0.073773774,0.000216917,0.216146146,0.000218899,0.090334334,0.533373373,11.43823824,0.02950951,0.022374374,0.023233233,0.024818819,0.007654855,0.177277277,0.000273293,0.000221982,0.00022044,0.068158158,1.784664665,0.000692593,0.62014014,0.000972713
0.270750751,0.119207207,0.127087087,0.843483483,0.547747748,0.026618619,0.000286847,2.57E-07,0.00015618,0.099123123,0.015675676,0.008314715,0.888888889,0.00051003,0.262822823,0.047159159,0.109117117,9.727327327,0.109237237,0.135087087,0.000673393,0.034546547,0.019264865,0.061981982,0.010428829,1.168048048,0.346186186,0.052684685,0.035459459,0.288528529,2.153513514,1.208648649,0.473993994,0.395915916,0.24024024,0.016112913,0.177057057,0.265945946,0.278198198,1.757357357,0.16603003,0.066186186,0.098306306,0.169393393,0.049177177,0.004595796,1.216816817,0.30966967,0.106402402,0.110726727,2.842042042,0.08048048,0.000236637,0.235795796,0.000238799,0.098546547,0.581861862,12.47807808,0.032192192,0.024408408,0.025345345,0.027075075,0.008350751,0.193393393,0.000298138,0.000242162,0.00024048,0.074354354,1.946906907,0.000755556,0.676516517,0.001061141
0.293313313,0.129141141,0.137677678,0.913773774,0.593393393,0.028836837,0.000310751,2.78E-07,0.000169195,0.107383383,0.016981982,0.009007608,0.962962963,0.000552533,0.284724725,0.051089089,0.11821021,10.53793794,0.11834034,0.146344344,0.00072951,0.037425425,0.02087027,0.067147147,0.011297898,1.265385385,0.375035035,0.057075075,0.038414414,0.312572573,2.332972973,1.309369369,0.513493493,0.428908909,0.26026026,0.017455656,0.191811812,0.288108108,0.301381381,1.903803804,0.179865866,0.071701702,0.106498498,0.18350951,0.053275275,0.004978779,1.318218218,0.335475475,0.115269269,0.119953954,3.078878879,0.087187187,0.000256356,0.255445445,0.000258699,0.106758759,0.63035035,13.51791792,0.034874875,0.026442442,0.027457457,0.029331331,0.009046647,0.20950951,0.000322983,0.000262342,0.000260521,0.080550551,2.109149149,0.000818519,0.732892893,0.00114957
0.315875876,0.139075075,0.148268268,0.984064064,0.639039039,0.031055055,0.000334655,3.00E-07,0.00018221,0.115643644,0.018288288,0.009700501,1.037037037,0.000595035,0.306626627,0.055019019,0.127303303,11.34854855,0.127443443,0.157601602,0.000785626,0.040304304,0.022475676,0.072312312,0.012166967,1.362722723,0.403883884,0.061465465,0.041369369,0.336616617,2.512432432,1.41009009,0.552992993,0.461901902,0.28028028,0.018798398,0.206566567,0.31027027,0.324564565,2.05025025,0.193701702,0.077217217,0.114690691,0.197625626,0.057373373,0.005361762,1.41961962,0.361281281,0.124136136,0.129181181,3.315715716,0.093893894,0.000276076,0.275095095,0.000278599,0.114970971,0.678838839,14.55775776,0.037557558,0.028476476,0.02956957,0.031587588,0.009742543,0.225625626,0.000347828,0.000282523,0.000280561,0.086746747,2.271391391,0.000881481,0.789269269,0.001237998
0.338438438,0.149009009,0.158858859,1.054354354,0.684684685,0.033273273,0.000358559,3.21E-07,0.000195225,0.123903904,0.019594595,0.010393393,1.111111111,0.000637538,0.328528529,0.058948949,0.136396396,12.15915916,0.136546547,0.168858859,0.000841742,0.043183183,0.024081081,0.077477477,0.013036036,1.46006006,0.432732733,0.065855856,0.044324324,0.360660661,2.691891892,1.510810811,0.592492492,0.494894895,0.3003003,0.020141141,0.221321321,0.332432432,0.347747748,2.196696697,0.207537538,0.082732733,0.122882883,0.211741742,0.061471471,0.005744745,1.521021021,0.387087087,0.133003003,0.138408408,3.552552553,0.100600601,0.000295796,0.294744745,0.000298498,0.123183183,0.727327327,15.5975976,0.04024024,0.030510511,0.031681682,0.033843844,0.010438438,0.241741742,0.000372673,0.000302703,0.000300601,0.092942943,2.433633634,0.000944444,0.845645646,0.001326426
0.361001001,0.158942943,0.169449449,1.124644645,0.73033033,0.035491491,0.000382462,3.43E-07,0.00020824,0.132164164,0.020900901,0.011086286,1.185185185,0.00068004,0.35043043,0.062878879,0.145489489,12.96976977,0.14564965,0.180116116,0.000897858,0.046062062,0.025686486,0.082642643,0.013905105,1.557397397,0.461581582,0.070246246,0.047279279,0.384704705,2.871351351,1.611531532,0.631991992,0.527887888,0.32032032,0.021483884,0.236076076,0.354594595,0.370930931,2.343143143,0.221373373,0.088248248,0.131075075,0.225857858,0.06556957,0.006127728,1.622422422,0.412892893,0.14186987,0.147635636,3.789389389,0.107307307,0.000315516,0.314394394,0.000318398,0.131395395,0.775815816,16.63743744,0.042922923,0.032544545,0.033793794,0.0361001,0.011134334,0.257857858,0.000397518,0.000322883,0.000320641,0.099139139,2.595875876,0.001007407,0.902022022,0.001414855
0.383563564,0.168876877,0.18004004,1.194934935,0.775975976,0.03770971,0.000406366,3.64E-07,0.000221255,0.140424424,0.022207207,0.011779179,1.259259259,0.000722543,0.372332332,0.066808809,0.154582583,13.78038038,0.154752753,0.191373373,0.000953974,0.048940941,0.027291892,0.087807808,0.014774174,1.654734735,0.49043043,0.074636637,0.050234234,0.408748749,3.050810811,1.712252252,0.671491491,0.560880881,0.34034034,0.022826627,0.250830831,0.376756757,0.394114114,2.48958959,0.235209209,0.093763764,0.139267267,0.239973974,0.069667668,0.006510711,1.723823824,0.438698699,0.150736737,0.156862863,4.026226226,0.114014014,0.000335235,0.334044044,0.000338298,0.139607608,0.824304304,17.67727728,0.045605606,0.034578579,0.035905906,0.038356356,0.01183023,0.273973974,0.000422362,0.000343063,0.000340681,0.105335335,2.758118118,0.00107037,0.958398398,0.001503283
0.406126126,0.178810811,0.190630631,1.265225225,0.821621622,0.039927928,0.00043027,3.86E-07,0.00023427,0.148684685,0.023513514,0.012472072,1.333333333,0.000765045,0.394234234,0.070738739,0.163675676,14.59099099,0.163855856,0.202630631,0.00101009,0.05181982,0.028897297,0.092972973,0.015643243,1.752072072,0.519279279,0.079027027,0.053189189,0.432792793,3.23027027,1.812972973,0.710990991,0.593873874,0.36036036,0.024169369,0.265585586,0.398918919,0.417297297,2.636036036,0.249045045,0.099279279,0.147459459,0.25409009,0.073765766,0.006893694,1.825225225,0.464504505,0.159603604,0.16609009,4.263063063,0.120720721,0.000354955,0.353693694,0.000358198,0.14781982,0.872792793,18.71711712,0.048288288,0.036612613,0.038018018,0.040612613,0.012526126,0.29009009,0.000447207,0.000363243,0.000360721,0.111531532,2.92036036,0.001133333,1.014774775,0.001591712
0.428688689,0.188744745,0.201221221,1.335515516,0.867267267,0.042146146,0.000454174,4.07E-07,0.000247285,0.156944945,0.02481982,0.013164965,1.407407407,0.000807548,0.416136136,0.074668669,0.172768769,15.4016016,0.172958959,0.213887888,0.001066206,0.054698699,0.030502703,0.098138138,0.016512312,1.849409409,0.548128128,0.083417417,0.056144144,0.456836837,3.40972973,1.913693694,0.75049049,0.626866867,0.38038038,0.025512112,0.28034034,0.421081081,0.44048048,2.782482482,0.262880881,0.104794795,0.155651652,0.268206206,0.077863864,0.007276677,1.926626627,0.49031031,0.16847047,0.175317317,4.4998999,0.127427427,0.000374675,0.373343343,0.000378098,0.156032032,0.921281281,19.75695696,0.050970971,0.038646647,0.04013013,0.042868869,0.013222022,0.306206206,0.000472052,0.000383423,0.000380761,0.117727728,3.082602603,0.001196296,1.071151151,0.00168014
